Subject,Age,Gender,Skillful_hand,Years_music_experience
27,41,Male,Right,10
28,23,Female,Right,0
29,47,Male,Right,0
30,23,Female,Right,11
31,48,Female,Right,0
32,31,Male,Right,2
33,30,Female,Right,0
34,31,Female,Right,0
35,19,Female,Left,4
36,32,Female,Right,0
37,21,Male,Right,0
38,21,Male,Right,1
39,59,Male,Right,1
40,19,Male,Right,10
41,21,Male,Right,9
42,20,Female,Right,0
43,22,Female,Right,0
44,22,Male,Right,15
45,20,Female,Right,4
46,22,Female,Right,0
47,23,Male,Right,1
48,22,Male,Right,0
49,20,Female,Right,1
50,24,Male,Right,1
51,23,Female,Right,0
52,24,Male,Right,15
